transfer_type,from,to,value,symbol,tx_hash,len
OUT,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0x55285b8b32cdfb52fde66fc81f8bcd83b723148f,1001.0,USDT,0x3680a2d3e81af263f6aee1eb3b5a3e7fd585a25bfd719c5c349b198530f75054,22
IN,0x9a9ed303e3c062a3e585efa51ca443f65f6c98fc,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,1003.0,USDT,0xcd844abe7401e7cf89baa009c29e301bb2bc72a6b7a73d8a686a2a5471845af3,22
OUT,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0x32df84a41f513db68808879bf672654db189e2b0,144.0,USDT,0xfd1d05604886ce82d93e14db7e5673380f0164ed37bf14637f1361f999aba988,21
OUT,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0x13bbf37f6acb219a225c90bdce12ef42f4cbbbcc,1733.3,USDT,0x65e3356f43a546f5cba049e723e7a8ba0a420ae8c8d5dee6b3d1b2b0d4aa66ae,22
IN,0xeb2d2f1b8c558a40207669291fda468e50c8a0bb,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,4199.71,USDT,0x2c0032672cbe52b27acc85472ce0b64eda105adf4cc7e161ae2eaa640980f2de,22
OUT,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0x13bbf37f6acb219a225c90bdce12ef42f4cbbbcc,3556.0,USDT,0x8713d6e9d25d9dc058be8c339fe0fd230d67b8486b3507e3881929c9779ab39f,22
IN,0x5efd59a3c5af0a7efd5767e13e6592ac172f0306,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,3487.0,USDT,0xc1f2cffbed388c2a13c446ab44158f1d71afb90d13b11c879e37727573d57927,22
IN,0xa180fe01b906a1be37be6c534a3300785b20d947,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,100.71,USDT,0x8218706af69d2001b47c473d3b68b8ca03d98ed8f653e589be31dfefd8b255f3,21
OUT,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0x13bbf37f6acb219a225c90bdce12ef42f4cbbbcc,3710.7,USDT,0x4429d87a3f0598c539a50b734d68492036f3539585346c1e81cd61b94e8c8bb5,22
OUT,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0x3b9cf5b170379ee2d146baeaf7ce48818527c0ed,100.0,USDT,0xc1bca28f3d4ac58105071c5d2db15976703acc4a0908fb84029594641a4d73f5,21
OUT,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0x824838b857207036a827e797eb984a1c0914016b,1439.0,USDT,0x9ee8f976ae0e90b13bd8c486a851c29b6f3300ade0617e6d8beb2b3f424cb429,22
OUT,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0x9615e2ce87dd2e5f1307c1649622ed748a957c23,100.0,USDT,0x20e2600decdf01e80d0927e26530fa6ef6b091a653c48ace7c48318a70cfc93e,21
OUT,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0x41da2a8cb04e02d25816de9c85fe76824f742a67,200.0,USDT,0xb88ee2c30af22edcf6cb4986b61d826571b2e6394e13c11ac08954a8e9417c3f,21
IN,0xe85497834979d60b2709cab01b3b811aee98bf30,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,4000.0,USDT,0x4c2d481d2af73b347532c98ddad981538f8c28f7ad41bef58cf691f4d0cb13b5,22
OUT,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0xbbb5a3829c29c8b49b82a8941447df645fadc8ac,1010.2,USDT,0x85a4c97be6cf2f282e31486cc7d4e049b414938dd157b29e57e7947822047a44,22
OUT,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0xfa52f15c4e0b282b47d51b8eef6d15d830e7b5e9,287.8,USDT,0xdae82c0d4290f3ea3cd64227416e0712a83ab841b2569eeb7dd02fd62c469906,21
IN,0x785da2926c1316ed3df81eade9f17371c36f73fd,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,231.0,USDT,0x16e3d0a81fafb51bb871e4e0b22018fbdce1859564e2f820a0a528dd019634d3,21
OUT,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0xbbb5a3829c29c8b49b82a8941447df645fadc8ac,5267.5,USDT,0xd672929e4cc8106eedab30ae3280a1c5b335ca20d360245b9636b6480e065740,22
OUT,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0x04234b267913ab9360fa2d8e6df0a9db9459e719,287.8,USDT,0x9df572eaa441b9b0e4a38ac16a0efd14b95a03b8da87202edff9a15ae4e642ff,21
OUT,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0xa57dc37163586afb2a28a4f64981c263daabd357,287.8,USDT,0x4609d0e0d2f8ff2fec4816cee5f5d9757f15daad8739b5563c67a6fa42aceab7,21
OUT,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0x434c7e18fa30db50b9d7a2af983f91f2c09bf140,100.0,USDT,0x392a06469ab5abad5baf11956ac7829b63f3f08b4581a1d53adee86eef8c167c,21
OUT,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0xe3a151ae9e2ff7a9fd80f41de49bb871a5cfc079,100.0,USDT,0x7cfafaf6d3a8a46e01edb2749f101b29912707ff5275d2922d0f9905d3735ad0,21
OUT,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0x5efd59a3c5af0a7efd5767e13e6592ac172f0306,20.0,USDT,0xb36ecf704f2eb05443888a1c85849c306bc92f6079dc3b47404bfd763ce45fe1,20
OUT,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0xf41756bde0e0c0d31a5e1242d98ceda2e410cd7d,1000.0,USDT,0x44a2be679a97d5e5dcc85532a85ce6c7621c7844c6275b512bf94e86e09d2804,22
