from,to,value,count
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0xfa52f15c4e0b282b47d51b8eef6d15d830e7b5e9,30887.8,58
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0x4332e2fa7539d132887e4dc5ca0e69c9964612c1,30734.7,28
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0xecb2b7c809c7c7ba36b889522f13ec7904192bd5,29529.6,19
0x9c69471fbfc42c15e37e952a2a3271723dfe9fb3,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,29200.8628409,5
0x1b4fe11c20d054b2053cc378add38948d96d8563,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,28750.0,5
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0x95f69b295ce0cc80d954cc3b14e3bb21463bf836,28093.9,6
0x6314f280ea46596f70ceffc528fcd323557ade8f,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,27945.0,14
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0x0ba9ca2841c37c46280a5130f4994b71fea4f9e3,26588.5412,33
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0x51ccdec799fdf86ad89aad11707e7233f22c2462,25723.8,11
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0xde728e660c30ea3798f76cde54f7fe9c385829a5,25375.25,25
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0x572b712c6015273659daaf965e0a387685d91ba6,24634.3,15
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0x7a9f0b078ab9754e7779c36889c97e845ec39748,24511.5,9
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0x74ebd3222348c406513e21599d12337e5402b8bb,24371.0,24
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0x14c32cb83b02d466fef82df93b142f48785cc7f2,23867.6,5
0xdb401e3d35bf35a5eeadb9921142dfe6f206de82,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,23400.0,6
0xc4e202960fe384eef9188be81cb1730d151083a5,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,23247.0,7
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0x58b6e8b8668a56cb31a0120fd787264f737c134d,23008.288,26
0xa71359e6f62a6598cae05a1e63b54fb98b1d0681,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,22386.0,14
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0x221a8c677366737307b1716ed45024aa46a1ce08,22221.84,12
0x3833d0966558c2b3913fc96cde6db539317ec4d7,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,22008.9941547,13
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0x5cdd7778f2c45b1aafef1446824b0f8faf204e5b,21801.9,8
0x697153dafbf7e13f7f0ff01c24fbc74e50e488f3,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,21465.5,20
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0x2b47bd91e6ee3ffe1565ab6aca358d77861ad2d7,21354.18,12
0xb29f0cec6495e4804f9de93d0d6ac7e1bba22d43,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,21225.0,24
0x41f5dcccbfbc445ee595bce3fb9a6ac6c7d11811,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,21126.0,23
0x96c9594ea290f1f2dea0635253e40886c91d5c7b,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,20888.0,10
0x502ff45b3de14d41206271972feb2da1320df298,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,20840.0,7
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0xd2fa71abef9dd5b8939bb7c33ad6a5810efb87a8,19957.0,5
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0x2b133373f5ca9834926c5374c8106f02f3d48a57,19886.7,7
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0x96c9594ea290f1f2dea0635253e40886c91d5c7b,19695.9,6
